Age,Study Hours,Academic Pressure,Financial Stress,Gender,Study Satisfaction,CGPA
24,8.61163977537268,3.0,3.0,1,5.0,7.25
37,5.863160087502403,1.0,3.0,0,2.0,5.91
32,7.455697428468366,4.0,1.0,1,3.0,7.54
28,8.476619222702421,3.0,2.0,1,5.0,8.78
25,6.9394973835333165,2.0,2.0,0,4.0,8.19
38,7.818533641854042,5.0,3.0,0,4.0,6.4
24,6.070426641002371,3.0,3.0,1,5.0,7.72
36,6.646360149829425,3.0,2.0,0,3.0,7.92
40,6.629453024415387,4.0,2.0,0,1.0,6.43
28,5.6561589762275695,5.0,3.0,1,3.0,4.96
28,6.681806506391593,4.0,1.0,0,5.0,9.05
38,4.2124870620452555,4.0,2.0,0,4.0,6.83
21,6.115923255144212,2.0,3.0,1,3.0,6.42
25,6.487224111934593,3.0,3.0,1,5.0,8.27
20,6.538876445508316,3.0,2.0,1,4.0,7.71
39,6.565304597432598,4.0,4.0,0,4.0,5.91
38,6.888824440251768,4.0,1.0,1,4.0,8.64
19,7.862994732554915,4.0,4.0,0,3.0,5.89
29,8.57413073343854,1.0,4.0,0,3.0,4.75
23,5.830422591673119,2.0,1.0,0,3.0,6.72
19,4.83423846029954,4.0,1.0,0,4.0,7.43
38,5.124320057962414,2.0,3.0,1,3.0,6.17
18,6.123034741849131,4.0,2.0,0,3.0,7.27
29,6.3665416279302836,4.0,2.0,0,5.0,8.22
39,5.614007080844576,3.0,4.0,0,5.0,5.86
29,4.66699000435019,2.0,1.0,1,3.0,7.26
34,6.1789825105464615,3.0,2.0,1,4.0,7.86
27,7.326567916205148,4.0,2.0,1,2.0,7.78
33,8.071053038504017,4.0,1.0,0,3.0,8.66
32,5.996638504405022,3.0,3.0,0,3.0,6.92
32,6.256603920141819,2.0,2.0,1,5.0,7.03
36,5.3319430440748405,5.0,3.0,1,2.0,4.49
29,6.943409493325403,4.0,3.0,0,2.0,5.18
40,5.472828458456534,2.0,3.0,1,5.0,7.5
37,8.031630063834161,3.0,3.0,0,3.0,6.81
20,3.7854403145186,3.0,3.0,1,4.0,5.29
22,6.352666589585567,2.0,2.0,0,4.0,7.41
36,7.541993210545136,3.0,2.0,0,3.0,6.51
24,7.330902129380508,4.0,4.0,0,3.0,5.28
38,11.847460595164893,4.0,3.0,1,5.0,9.82
26,7.629640044222233,4.0,3.0,1,4.0,7.0
24,5.1927017256843815,1.0,3.0,0,3.0,4.0
35,6.828164355239669,5.0,2.0,1,3.0,5.73
21,3.8027565997603867,3.0,3.0,0,4.0,6.85
31,6.854920451265831,4.0,3.0,1,4.0,7.52
35,5.5004990973986345,3.0,1.0,1,5.0,9.27
26,8.647702496008291,2.0,3.0,0,3.0,6.96
38,6.010827505728037,3.0,3.0,1,4.0,8.37
19,6.789821351568556,1.0,2.0,1,4.0,6.62
37,5.8559958854720735,4.0,4.0,0,4.0,5.74
32,10.129932433335997,4.0,1.0,0,5.0,9.29
24,6.421763020987759,3.0,3.0,0,3.0,6.97
29,10.298602678262563,5.0,3.0,0,3.0,6.93
25,8.46547317181288,3.0,2.0,1,3.0,8.24
32,7.867720109203695,4.0,3.0,1,4.0,7.31
20,7.663719665171535,4.0,3.0,0,3.0,5.84
31,7.7088351367892525,3.0,1.0,1,5.0,8.93
